Qiymet,Tarix,Baxısh,Elan,Emlak,Kategoriya,Mertebe,Sahe,Otag sayı,Çıxarısh,İpoteka,Adres,Umumi Mertebe sayi
75000,2024-08-08,39,259152,Bina evi menzil,Köhnə,3,57.0,2,var,,Sumqayıt 13-cü mikrorayon,5
102000,2024-08-08,31,220802,Bina evi menzil,Köhnə,5,95.0,4,var,,Sumqayıt 9-cu mikrorayon,5
74000,2024-08-08,20,107544,Bina evi menzil,Köhnə,1,55.0,2,var,,Sumqayıt 12-ci mikrorayon,5
80000,2024-08-08,45,297120,Bina evi menzil,Köhnə,2,56.0,2,var,,Sumqayıt 17-ci mikrorayon,5
62000,2024-08-08,55,330850,Bina evi menzil,Köhnə,3,40.0,2,var,,Sumqayıt 12-ci mikrorayon,5
72000,2024-08-08,26,292369,Bina evi menzil,Köhnə,5,54.0,2,var,,Sumqayıt 9-cu mikrorayon,5
60000,2024-08-08,37,330809,Bina evi menzil,Köhnə,1,32.0,1,var,,Sumqayıt 2-ci mikrorayon,5
121000,2024-08-08,88,330785,Bina evi menzil,Yeni,3,94.0,3,var,,Sumqayıt 6-cı mikrorayon,10
78000,2024-08-08,37,330678,Bina evi menzil,Köhnə,2,56.0,2,var,,Sumqayıt 17-ci mikrorayon,5
129000,2024-08-08,44,330781,Bina evi menzil,Köhnə,7,90.0,4,var,,Sumqayıt 13-cü mikrorayon,9
60000,2024-08-08,33,330742,Bina evi menzil,Köhnə,1,36.0,1,var,,Sumqayıt 12-ci mikrorayon,5
155000,2024-08-08,35,330735,Bina evi menzil,Köhnə,5,120.0,5,var,,Sumqayıt 5-ci mikrorayon,5
80000,2024-08-08,29,330730,Bina evi menzil,Köhnə,1,70.0,3,var,,Sumqayıt 8-ci mikrorayon,5
129000,2024-08-08,17,316608,Bina evi menzil,Yeni,2,89.0,3,var,,Sumqayıt 9-cu mikrorayon,16
93000,2024-08-08,37,330684,Bina evi menzil,Köhnə,8,60.0,2,var,,Sumqayıt 18-ci mikrorayon,9
79000,2024-08-08,36,314375,Bina evi menzil,Köhnə,5,56.0,2,var,,Sumqayıt 9-cu mikrorayon,9
67500,2024-08-08,23,296080,Bina evi menzil,Köhnə,2,36.0,1,var,,Sumqayıt 9-cu mikrorayon,5
128000,2024-08-08,29,326593,Bina evi menzil,Köhnə,4,84.0,3,var,,Sumqayıt 9-cu mikrorayon,5
95000,2024-08-08,21,174941,Bina evi menzil,Köhnə,4,73.0,3,var,,Sumqayıt 4-cü mikrorayon,5
79000,2024-08-08,25,330641,Bina evi menzil,Köhnə,1,67.0,3,var,,Sumqayıt 8-ci mikrorayon,5
122000,2024-08-08,56,330632,Bina evi menzil,Yeni,4,95.0,3,var,,Sumqayıt 6-cı mikrorayon,10
86000,2024-08-08,21,288374,Bina evi menzil,Köhnə,1,75.0,3,var,,Sumqayıt 12-ci mikrorayon,5
112000,2024-08-08,20,276195,Bina evi menzil,Köhnə,5,75.0,3,var,,Sumqayıt 12-ci mikrorayon,5
120000,2024-08-08,52,330601,Bina evi menzil,Köhnə,3,80.0,3,var,,Sumqayıt 5-ci mikrorayon,5
48500,2024-08-08,22,287649,Bina evi menzil,Köhnə,5,30.0,1,var,,Sumqayıt 3-cü mikrorayon,5
86000,2024-08-08,25,327141,Bina evi menzil,Köhnə,2,55.0,2,var,,Sumqayıt 34-cü məhəllə,5
225000,2024-08-08,22,290751,Bina evi menzil,Yeni,3,100.0,3,var,,Sumqayıt Sumqayıt Bulvarı,10
125000,2024-08-08,22,326729,Bina evi menzil,Yeni,13,96.0,3,var,,Sumqayıt 40-cı məhəllə,16
110000,2024-08-08,15,324738,Bina evi menzil,Köhnə,1,68.0,3,var,,Sumqayıt 13-cü mikrorayon,5
72000,2024-08-08,14,277360,Bina evi menzil,Köhnə,5,47.0,2,var,,Sumqayıt 2-ci mikrorayon,5
82500,2024-08-08,17,275777,Bina evi menzil,Köhnə,3,48.0,2,var,,Sumqayıt 45-ci məhəllə,5
78500,2024-08-08,20,293592,Bina evi menzil,Köhnə,1,65.0,3,var,,Sumqayıt 8-ci mikrorayon,5
115000,2024-08-08,16,321944,Bina evi menzil,Köhnə,5,76.0,3,var,,Sumqayıt 9-cu mikrorayon,5
58500,2024-08-08,29,327955,Bina evi menzil,Köhnə,4,38.5,1,var,,Sumqayıt 2-ci məhəllə,4
68900,2024-08-08,60,301718,Bina evi menzil,Köhnə,9,45.0,2,var,,Sumqayıt 45-ci məhəllə,14
59000,2024-08-08,48,330538,Bina evi menzil,Köhnə,5,35.0,1,var,,Sumqayıt 41-ci məhəllə,5
109000,2024-08-08,31,120179,Bina evi menzil,Yeni,9,80.0,2,var,,Sumqayıt 9-cu mikrorayon,12
130000,2024-08-08,44,860124,Bina evi menzil,Yeni,10,105.0,3,var,,Sumqayıt 6-cı mikrorayon,14
162000,2024-08-08,33,258728,Bina evi menzil,Köhnə,4,80.0,3,var,,Sumqayıt 2-ci məhəllə,4
75000,2024-08-08,23,183355,Bina evi menzil,Köhnə,3,49.0,2,var,,Sumqayıt 8-ci mikrorayon,9
91500,2024-08-08,41,321433,Bina evi menzil,Köhnə,3,55.0,2,var,,Sumqayıt 9-cu mikrorayon,5
53000,2024-08-08,74,330533,Bina evi menzil,Köhnə,4,64.0,3,var,,Sumqayıt Hacı Zeynalabdin,5
88000,2024-08-08,31,306046,Bina evi menzil,Yeni,8,70.0,2,var,,Sumqayıt 40-cı məhəllə,16
223000,2024-08-08,46,330501,Bina evi menzil,Yeni,5,121.0,3,var,,Sumqayıt Sumqayıt Bulvarı,13
250000,2024-08-08,40,330495,Bina evi menzil,Yeni,3,117.0,3,var,,Sumqayıt Sumqayıt Bulvarı,9
63500,2024-08-08,29,277815,Bina evi menzil,Köhnə,5,48.0,2,var,,Sumqayıt 4-cü mikrorayon,5
71000,2024-08-08,21,329400,Bina evi menzil,Köhnə,3,48.0,2,var,,Sumqayıt 2-ci mikrorayon,5
61900,2024-08-08,23,329037,Bina evi menzil,Köhnə,5,48.0,2,var,,Sumqayıt 4-cü mikrorayon,5
98000,2024-08-08,20,326212,Bina evi menzil,Köhnə,5,72.0,3,var,,Sumqayıt 17-ci mikrorayon,5
57800,2024-08-08,19,324763,Bina evi menzil,Köhnə,4,33.0,1,var,,Sumqayıt 2-ci mikrorayon,5
98000,2024-08-08,33,325156,Bina evi menzil,Köhnə,4,68.0,3,var,,Sumqayıt 3-cü mikrorayon,5
75000,2024-08-08,16,317242,Bina evi menzil,Köhnə,1,68.0,3,var,,Sumqayıt 8-ci mikrorayon,5
82000,2024-08-08,19,302469,Bina evi menzil,Köhnə,4,56.0,2,var,,Sumqayıt 5-ci mikrorayon,5
59500,2024-08-08,16,254278,Bina evi menzil,Köhnə,4,38.0,1,var,,Sumqayıt 9-cu mikrorayon,5
54000,2024-08-08,17,320012,Bina evi menzil,Köhnə,4,33.0,1,var,,Sumqayıt Birləşmiş məhəllə,4
65000,2024-08-08,25,324419,Bina evi menzil,Köhnə,4,38.0,1,var,,Sumqayıt 17-ci mikrorayon,5
63000,2024-08-08,21,245934,Bina evi menzil,Köhnə,7,38.0,1,var,,Sumqayıt 10-cu mikrorayon,9
67000,2024-08-08,27,321395,Bina evi menzil,Köhnə,4,48.0,2,var,,Sumqayıt 13-cü mikrorayon,5
59500,2024-08-08,77,304159,Bina evi menzil,Köhnə,5,40.0,2,var,,Sumqayıt 18-ci mikrorayon,5
200000,2024-08-08,41,309014,Bina evi menzil,Yeni,8,126.0,3,var,,Sumqayıt 14-cü məhəllə,15
205000,2024-08-08,33,175970,Bina evi menzil,Yeni,9,126.0,3,var,,Sumqayıt 17-ci məhəllə,12
150000,2024-08-08,42,955626,Bina evi menzil,Yeni,3,92.0,3,var,,Sumqayıt Sumqayıt Bulvarı,7
330000,2024-08-08,34,139125,Bina evi menzil,Yeni,5,163.0,4,var,,Sumqayıt Sumqayıt Bulvarı,5
300000,2024-08-08,44,243990,Bina evi menzil,Yeni,3,150.0,4,var,,Sumqayıt Sumqayıt Bulvarı,10
105000,2024-08-08,35,271672,Bina evi menzil,Yeni,16,95.0,3,var,,Sumqayıt 40-cı məhəllə,16
130000,2024-08-08,36,167106,Bina evi menzil,Köhnə,2,75.0,3,var,,Sumqayıt 10-cu mikrorayon,5
82000,2024-08-08,30,955631,Bina evi menzil,Yeni,15,62.0,2,yox,,Sumqayıt 16-cı mikrorayon,17
141000,2024-08-08,26,279427,Bina evi menzil,Yeni,10,97.0,2,var,,Sumqayıt 19-cu məhəllə,16
86000,2024-08-08,25,254658,Bina evi menzil,Köhnə,3,60.0,2,var,,Sumqayıt 47-ci məhəllə,9
105000,2024-08-08,51,870703,Bina evi menzil,Köhnə,8,70.0,3,var,,Sumqayıt 12-ci mikrorayon,9
103000,2024-08-08,84,193873,Bina evi menzil,Köhnə,8,72.0,3,var,,Sumqayıt 9-cu mikrorayon,9
185000,2024-08-08,102,794606,Bina evi menzil,Yeni,8,176.0,4,yox,,Sumqayıt 13-cü mikrorayon,14
118000,2024-08-08,85,194887,Bina evi menzil,Yeni,8,88.0,2,var,,Sumqayıt 9-cu mikrorayon,12
93000,2024-08-08,86,140490,Bina evi menzil,Köhnə,5,75.0,3,var,,Sumqayıt 1-ci mikrorayon,5
130000,2024-08-08,110,124539,Bina evi menzil,Köhnə,5,115.0,5,var,,Sumqayıt 9-cu mikrorayon,5
248000,2024-08-08,74,200487,Bina evi menzil,Yeni,13,124.0,3,yox,,Sumqayıt 16-cı məhəllə,17
185000,2024-08-08,80,252731,Bina evi menzil,Yeni,13,124.0,3,var,,Sumqayıt 16-cı məhəllə,17
94000,2024-08-08,80,122048,Bina evi menzil,Köhnə,12,75.0,3,var,,Sumqayıt 3-cü mikrorayon,12
163500,2024-08-08,88,123966,Bina evi menzil,Köhnə,3,82.0,3,var,,Sumqayıt 1-ci məhəllə,4
115000,2024-08-08,65,320966,Bina evi menzil,Köhnə,1,72.0,3,var,,Sumqayıt 9-cu mikrorayon,5
69000,2024-08-08,76,129013,Bina evi menzil,Yeni,14,140.0,3,yox,,Sumqayıt 8-ci mikrorayon,16
77000,2024-08-08,83,297805,Bina evi menzil,Yeni,16,66.0,2,yox,,Sumqayıt 8-ci mikrorayon,16
100000,2024-08-08,89,294935,Bina evi menzil,Yeni,4,95.0,2,yox,,Sumqayıt 36-cı məhəllə,12
83000,2024-08-08,76,315753,Bina evi menzil,Köhnə,8,55.0,2,var,,Sumqayıt 9-cu mikrorayon,9
195000,2024-08-08,80,162427,Bina evi menzil,Yeni,10,102.0,3,var,,Sumqayıt Sumqayıt Bulvarı,10
48500,2024-07-08,139,330456,Bina evi menzil,Köhnə,5,34.0,1,var,,Sumqayıt 8-ci mikrorayon,5
91000,2024-07-08,101,330455,Bina evi menzil,Köhnə,4,50.0,2,var,,Sumqayıt 17-ci mikrorayon,5
76000,2024-07-08,113,330452,Bina evi menzil,Köhnə,9,60.0,2,var,,Sumqayıt 17-ci mikrorayon,9
75000,2024-07-08,91,330449,Bina evi menzil,Köhnə,2,48.0,2,var,,Sumqayıt 8-ci mikrorayon,5
73000,2024-07-08,66,183662,Bina evi menzil,Köhnə,5,60.0,2,var,,Sumqayıt 48-ci məhəllə,5
71000,2024-07-08,69,323451,Bina evi menzil,Köhnə,1,75.0,3,var,,Sumqayıt 8-ci mikrorayon,5
62000,2024-07-08,60,330447,Bina evi menzil,Köhnə,2,34.0,1,var,,Sumqayıt 41-ci məhəllə,5
94000,2024-07-08,46,292499,Bina evi menzil,Köhnə,8,61.0,3,var,,Sumqayıt 18-ci mikrorayon,9
95000,2024-07-08,80,152092,Bina evi menzil,Yeni,5,91.0,4,var,,Sumqayıt 52-ci məhəllə,14
175000,2024-07-08,62,263328,Bina evi menzil,Yeni,10,115.0,3,var,,Sumqayıt 6-cı mikrorayon,11
105000,2024-07-08,64,330421,Bina evi menzil,Köhnə,7,70.0,3,var,,Sumqayıt 18-ci mikrorayon,9
55000,2024-07-08,63,328347,Bina evi menzil,Köhnə,2,30.0,1,var,,Sumqayıt 2-ci mikrorayon,5
96000,2024-07-08,54,324000,Bina evi menzil,Köhnə,4,68.0,3,var,,Sumqayıt 14-cü məhəllə,5
60500,2024-07-08,43,303115,Bina evi menzil,Köhnə,3,33.0,1,var,,Sumqayıt 30-cu məhəllə,4
77000,2024-07-08,53,330408,Bina evi menzil,Köhnə,2,46.0,2,var,,Sumqayıt 20-ci məhəllə,2
90000,2024-07-08,40,330402,Bina evi menzil,Köhnə,2,57.0,2,var,,Sumqayıt 17-ci mikrorayon,9
96000,2024-07-08,29,330400,Bina evi menzil,Köhnə,5,70.0,3,var,,Sumqayıt 45-ci məhəllə,5
90000,2024-07-08,50,330390,Bina evi menzil,Köhnə,1,75.0,3,var,,Sumqayıt 3-cü mikrorayon,5
46000,2024-07-08,58,330387,Bina evi menzil,Köhnə,1,60.0,3,var,,Sumqayıt Hacı Zeynalabdin,5
137000,2024-07-08,64,268803,Bina evi menzil,Köhnə,6,90.0,4,var,,Sumqayıt 17-ci mikrorayon,9
125000,2024-07-08,77,271807,Bina evi menzil,Yeni,2,62.0,2,var,,Sumqayıt Sumqayıt Bulvarı,10
150000,2024-07-08,30,155073,Bina evi menzil,Yeni,7,60.0,2,var,,Sumqayıt Sumqayıt Bulvarı,10
90000,2024-07-08,52,330363,Bina evi menzil,Köhnə,1,68.0,3,var,,Sumqayıt 3-cü mikrorayon,5
86000,2024-07-08,56,330359,Bina evi menzil,Köhnə,5,60.0,2,var,,Sumqayıt 9-cu mikrorayon,9
66500,2024-07-08,45,330088,Bina evi menzil,Köhnə,1,55.0,2,var,,Sumqayıt 4-cü mikrorayon,5
68000,2024-07-08,43,937679,Bina evi menzil,Yeni,6,49.0,2,yox,,Sumqayıt 76-cı məhəllə,16
157000,2024-07-08,59,236279,Bina evi menzil,Yeni,14,116.5,3,yox,,Sumqayıt Sumqayıt Bulvarı,15
138000,2024-07-08,39,179866,Bina evi menzil,Köhnə,5,105.0,3,var,,Sumqayıt 10-cu mikrorayon,8
133500,2024-07-08,32,179882,Bina evi menzil,Köhnə,12,167.0,4,var,,Sumqayıt 36-cı məhəllə,12
47000,2024-07-08,107,284785,Bina evi menzil,Köhnə,12,58.0,2,var,,Sumqayıt 10-cu mikrorayon,16
168000,2024-07-08,39,330337,Bina evi menzil,Yeni,10,84.0,3,var,,Sumqayıt Sumqayıt Bulvarı,10
60000,2024-07-08,87,284781,Bina evi menzil,Yeni,11,62.0,2,var,,Sumqayıt 10-cu mikrorayon,16
86000,2024-07-08,51,330334,Bina evi menzil,Köhnə,5,60.0,2,var,,Sumqayıt 9-cu mikrorayon,9
70000,2024-07-08,44,330332,Bina evi menzil,Köhnə,5,47.0,2,var,,Sumqayıt 2-ci mikrorayon,5
102000,2024-07-08,34,330320,Bina evi menzil,Köhnə,4,64.0,3,var,,Sumqayıt 4-cü mikrorayon,5
54500,2024-07-08,61,330290,Bina evi menzil,Yeni,2,30.0,1,var,,Sumqayıt 10-cu mikrorayon,16
20000,2024-07-08,52,330273,Bina evi menzil,Köhnə,2,46.0,2,yox,,Sumqayıt Sumqayıt şəh.,3
84500,2024-07-08,58,172385,Bina evi menzil,Yeni,15,75.0,2,yox,,Sumqayıt 8-ci mikrorayon,17
63500,2024-07-08,58,289946,Bina evi menzil,Köhnə,3,45.0,2,var,,Sumqayıt 17-ci mikrorayon,5
61000,2024-07-08,45,287096,Bina evi menzil,Köhnə,5,40.0,2,var,,Sumqayıt 10-cu mikrorayon,5
105000,2024-07-08,40,184407,Bina evi menzil,Köhnə,3,70.0,3,var,,Sumqayıt 11-ci mikrorayon,5
86000,2024-07-08,35,592009,Bina evi menzil,Köhnə,5,68.0,3,var,,Sumqayıt 13-cü mikrorayon,5
140000,2024-07-08,30,297094,Bina evi menzil,Yeni,15,91.0,3,var,,Sumqayıt 9-cu mikrorayon,15
73000,2024-07-08,27,165763,Bina evi menzil,Köhnə,5,58.0,2,var,,Sumqayıt 48-ci məhəllə,5
70000,2024-07-08,30,252751,Bina evi menzil,Köhnə,5,65.0,2,var,,Sumqayıt 18-ci mikrorayon,5
108000,2024-07-08,25,265108,Bina evi menzil,Köhnə,4,72.0,3,var,,Sumqayıt 10-cu mikrorayon,5
300000,2024-07-08,38,227208,Bina evi menzil,Yeni,3,150.0,4,var,,Sumqayıt Sumqayıt Bulvarı,9
